name,price,brand,specs,company,reviewID,score
"['A57', '3gb']","Rs. 97,999",Apple,Phones - Used Apple,Like,069,1.0
Samsung A54 -,"Rs. 12,799",No Brand,ram and 32gb memory,A57,070,3.8
Redmi A2+ ||,"Rs. 140,999",Samsung,- 8GB/256GB - Android,Samsung,071,4.6
"['Tecno', 'Camon']","Rs. 21,999",Redmi,|| 3GB Ram 64GB,Redmi,072,4.7
"['Xiaomi', 'Redmi']","Rs. 53,999",Tecno,20 - 8GB/256GB -,Tecno,073,4.7
"['Infinix', 'Zero']","Rs. 44,999",Redmi,"12 , 8GB RAM",Xiaomi,074,4.8
OPPO A17,"Rs. 75,000",No Brand,30 4G RAM 8,Infinix,075,-
"Redmi 12C,","Rs. 36,999",OPPO,4GB + 64GB 5000mAh,OPPO,076,4.6
Xiaomi 13T,"Rs. 50,999",Samsung,4/128,Samsung,077,4.7
Sparx S7,"Rs. 28,999",Redmi,4GB RAM 128GB ROM,Redmi,078,4.7
"['Motorola', 'Moto']","Rs. 169,999",Xiaomi,(12GB-256GB) PTA Approved With,Xiaomi,079,4.6
Samsung Galaxy A04s,"Rs. 14,299",Sparx,2GB Ram 32GB Rom,Sparx,080,4.0
"Itel A05s ,","Rs. 82,000",Motorola,Edge Plus 2020 12GB,Motorola,081,5.0
"['VGOTEL', 'Note']","Rs. 39,999",No Brand,A04s 4GB - 128GB,Samsung,082,4.8
Redmi 12C ||,"Rs. 20,199",No Brand,", 4GB RAM 64GB",Itel,083,-
"['TECNO', 'CAMON']","Rs. 30,999",No Brand,23 || 8GB+8GB RAM,VGOTEL,084,-
"['Infinix', 'Note']","Rs. 27,999",No Brand,|| 4GB Ram 128GB,Redmi,085,4.9
"['Oppo', 'A57']","Rs. 47,000",No Brand,20 - 8GB+8GB RAM,TECNO,086,5.0
"['Infinix', 'Hot']","Rs. 47,999",Infinix,"30 , 8GB RAM",Infinix,087,4.6
"['Xiaomi', 'Redmi']","Rs. 13,999",No Brand,"- 5.2"" HD Display",Oppo,088,-
"['Xiaomi', 'Note']","Rs. 37,499",Infinix,30 || 8GB+8GB Ram,Infinix,089,4.7
Redmi A2+,"Rs. 50,399",Redmi,Note 12 || 8GB,Xiaomi,090,4.8
"['Sparx', 'Neo']","Rs. 49,999",Redmi,"12 , 8GB RAM",Xiaomi,091,5.0
"['Itel', 'S23']","Rs. 22,999",Xiaomi,(3GB-64GB) PTA Approved With,Redmi,092,4.5
"['Like', 'New']","Rs. 25,499",No Brand,X || 4GB RAM,Sparx,093,4.6
"['Daraz', 'Like']","Rs. 28,899",Shoptech,"- 6.6"" Inch Display",Itel,094,4.6
"['Vgotel', 'New']","Rs. 106,999",Apple,Phones - Used Apple,Like,095,5.0
"['Tecno', 'POVA']","Rs. 154,999",Daraz Like New,New Phones - Used,Daraz,096,5.0
"['Infinix', 'Smart']","Rs. 16,999",VGOTEL,12 - 2GB RAM,Vgotel,097,5.0
"['Oppo', 'A57']","Rs. 57,599",Tecno,5 Pro 5G 256GB,Tecno,098,-
Tecno CAMON 20,"Rs. 25,300",Infinix,7 - 64GB ROM,Infinix,099,4.4
"['Infinix', 'Note']","Rs. 26,999",No Brand,"2022 - 6.5"" HD",Oppo,100,-
Vivo V29,"Rs. 46,698",No Brand,20 8GB RAM-256GB ROM,Tecno,101,5.0
Vivo Y17S ||,"Rs. 47,999",No Brand,"30 , 8GB RAM",Infinix,102,4.8
Redmi 12 ||,"Rs. 162,999",No Brand,12GB Ram 256GB Rom,Vivo,103,-
itel S23,"Rs. 44,999",No Brand,|| 6GB+6GB Ram 128GB,Vivo,104,5.0
"['Redmi', 'A2']","Rs. 42,999",Redmi,|| 8GB Ram 128GB,Redmi,105,4.7
"['Lg', 'V60']","Rs. 28,799",No Brand,8GB Ram 128GB Rom,itel,106,4.3
VGOTEL NOTE 23,"Rs. 22,999",Redmi,"Plus , 3GB RAM",Redmi,107,4.4
"['Xiaomi', '13T']","Rs. 58,000",LG ReEn,Thing original Official Pta,Lg,108,5.0
Redmi 12 ||,"Rs. 30,999",No Brand,23 8+8=16GB RAM 256GB,VGOTEL,109,-
"['Sparx', 'Neo']","Rs. 238,499",No Brand,"Pro - 6.67"" Inch",Xiaomi,110,-
"Redmi 12 ,","Rs. 36,999",No Brand,|| 4GB Ram 128GB,Redmi,111,5.0
"['Infinix', 'Note']","Rs. 32,599",Sparx,7 Ultra 128GB ROM,Sparx,112,4.2
"['Sony', 'xperia']","Rs. 43,799",No Brand,", 8GB Ram 128GB",Redmi,113,5.0
"['Redmi', 'Note']","Rs. 48,499",Infinix,30 RAM 8GB+8GB &,Infinix,114,4.5
"['Daraz', 'Like']","Rs. 57,000",SONY,5 mark 2 official,Sony,115,4.8
Redmi 12C,"Rs. 51,399",No Brand,12 || 8GB Ram,Redmi,116,4.7
"Xiaomi 13T ,","Rs. 184,999",Apple,New Phones - Used,Daraz,117,-
"['Infinix', 'Smart']","Rs. 25,890",No Brand,4GB RAM + 64GB,Redmi,118,5.0
Itel A60s ||,"Rs. 179,999",Redmi,", 12GB RAM 256GB",Xiaomi,119,5.0
"['Tecno', 'Camon']","Rs. 25,999",Infinix,"7 , Back Camera",Infinix,120,5.0
"['itel', 'S23']","Rs. 22,999",No Brand,|| 4GB + 128GB,Itel,121,4.9
"['Xiaomi', '13T']","Rs. 48,999",Tecno,"20 , 8GB RAM",Tecno,122,4.9
"['Tecno', 'Camon']","Rs. 33,999",itel,6.6″ HD+ Display |,itel,123,4.9
Redmi Note 12,"Rs. 169,899",No Brand,"- 6.67"" Inch Display",Xiaomi,124,5.0
"['Redmi', 'Note']","Rs. 49,499",Tecno,20 - 8GB RAM,Tecno,125,1.0
Realme C51 RAM,"Rs. 50,499",Redmi,12 8GB Ram 128GB,Redmi,126,4.7
"['Tecno', 'Camon']","Rs. 51,499",No Brand,12 || 8GB Ram,Redmi,127,4.9
"['Infinix', 'Hot']","Rs. 33,000",No Brand,RAM 4GB ROM 64GB,Realme,128,-
Redmi 12C ||,"Rs. 61,999",No Brand,20 Pro 8GB 256GB,Tecno,129,5.0
"['Infinix', 'Note']","Rs. 39,999",No Brand,30 || 8GB Ram,Infinix,130,4.5
"['Xiaomi', 'Redmi']","Rs. 27,799",No Brand,|| 4GB Ram 128GB,Redmi,131,4.7
"Xiaomi 13T ,","Rs. 47,980",No Brand,30 RAM 8 GB,Infinix,132,4.8
vivo Y36 -,"Rs. 43,999",No Brand,12 || 8GB +,Xiaomi,133,5.0
vivo Y36 -,"Rs. 172,999",No Brand,", 12GB RAM 256GB",Xiaomi,134,-
Redmi 12C,"Rs. 64,999",Vivo,- 8GB RAM -,vivo,135,4.3
"['Redmi', 'A1']","Rs. 69,999",Vivo,- 8GB RAM -,vivo,136,5.0
